key,value
"Anti-American Indian or Alaska Native",544
"Anti-Arab",475
"Anti-Asian",2071
"Anti-Atheism/Agnosticism",61
"Anti-Bisexual",167
"Anti-Black or African American",13777
"Anti-Buddhist",94
"Anti-Catholic",365
"Anti-Church of Jesus Christ",76
"Anti-Eastern Orthodox (Russian, Greek, Other)",242
"Anti-Female",376
"Anti-Gay (Male)",4076
"Anti-Gender Non-Conforming",477
"Anti-Heterosexual",71
"Anti-Hindu",84
"Anti-Hispanic or Latino",2977
"Anti-Islamic (Muslim)",754
"Anti-Jehovah's Witness",45
"Anti-Jewish",4927
"Anti-Lesbian (Female)",750
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",2554
"Anti-Male",96
"Anti-Mental Disability",420
"Anti-Multiple Races, Group",975
"Anti-Multiple Religions, Group",194
"Anti-Native Hawaiian or Other Pacific Islander",116
"Anti-Other Christian",298
"Anti-Other Race/Ethnicity/Ancestry",1571
"Anti-Other Religion",357
"Anti-Physical Disability",290
"Anti-Protestant",170
"Anti-Sikh",614
"Anti-Transgender",1233
"Anti-White",4060
